2	header
$Id: postResults 861 2011-05-06 10:00:27Z MPIE\c.kords $
inc	time	elem	node	ip	grain	ip.x	ip.y	ip.z	CauchyStress.intensity	CauchyStress.t11	CauchyStress.t22	CauchyStress.t33	CauchyStress.t12	CauchyStress.t23	CauchyStress.t13	1_1_f	1_2_f	1_3_f	1_4_f	1_5_f	1_6_f	1_7_f	1_8_f	1_9_f	1_1_grainrotation	1_2_grainrotation	1_3_grainrotation	1_4_grainrotation	1_1_resistance_slip	1_2_resistance_slip	1_3_resistance_slip	1_4_resistance_slip	1_5_resistance_slip	1_6_resistance_slip	1_7_resistance_slip	1_8_resistance_slip	1_9_resistance_slip	1_10_resistance_slip	1_11_resistance_slip	1_12_resistance_slip
0	0.0	1	5	1	1	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
1	1.0	1	5	1	1	0.5	0.5	0.5	0.024172998067	0.056046936661	0.0577092021704	0.0580734722316	0.0075496127829	0.00882737897336	0.00766104180366	1.0	1.1259596093e-13	1.12595994811e-13	1.55780499177e-13	0.999847710133	-0.0174524057657	1.55782193243e-13	0.0174524057657	0.999847710133	1.0	-1.23725617425e-12	1.23720879461e-12	1.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
2	2.0	1	5	1	1	0.5	0.5	0.5	0.0241432830571	0.0377263836563	0.0324090756476	0.033376660198	0.00727691268548	0.00865175202489	0.00764666078612	1.0	1.10501743118e-13	1.10501777e-13	1.50193822223e-13	0.99939084053	-0.034899495542	1.55527744546e-13	0.034899495542	0.99939084053	1.0	-6.45080505939e-13	5.68662738426e-13	2.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
3	3.0	1	5	1	1	0.5	0.5	0.5	0.0257848323757	0.0201567672193	0.00817993376404	0.00972554087639	0.00701188668609	0.00847246591002	0.00763081293553	1.0	1.08486407791e-13	1.08486434896e-13	1.447601533e-13	0.998629510403	-0.0523359552026	1.55243941075e-13	0.0523359552026	0.998629510403	1.0	-4.46705416797e-13	3.46547009838e-13	3.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
4	4.0	1	5	1	1	0.5	0.5	0.5	0.0286209738301	0.00342932180502	-0.0149000706151	-0.0128218811005	0.00675505120307	0.00828998535872	0.0076136472635	1.0	1.06547922069e-13	1.06547949174e-13	1.39501515266e-13	0.997564077377	-0.0697564706206	1.54932937682e-13	0.0697564706206	0.997564077377	1.0	-3.46813588048e-13	2.36204529243e-13	4.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
5	5.0	1	5	1	1	0.5	0.5	0.5	0.032148640163	-0.0124530605972	-0.0368128865957	-0.0341981202364	0.00650494545698	0.00810338370502	0.00759505899623	1.0	1.04684232745e-13	1.04684253074e-13	1.34370257434e-13	0.996194720268	-0.0871557444334	1.54588120733e-13	0.0871557444334	0.996194720268	1.0	-2.8629133569e-13	1.70304512138e-13	5.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
6	6.0	1	5	1	1	0.5	0.5	0.5	0.0360145416329	-0.027449907735	-0.0575108379126	-0.0543776340783	0.00626290449873	0.00791467912495	0.0075753852725	1.0	1.02893266281e-13	1.0289328661e-13	1.29417364412e-13	0.994521915913	-0.104528464377	1.54218746606e-13	0.104528464377	0.994521915913	1.0	-2.45509477548e-13	1.26874964528e-13	6.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
7	7.0	1	5	1	1	0.5	0.5	0.5	0.0399740663918	-0.0415176264942	-0.0769297853112	-0.0733039304614	0.00602708896622	0.00772315822542	0.00755509966984	1.0	1.01173003352e-13	1.01173016904e-13	1.24581768512e-13	0.992546141148	-0.121869340539	1.5383908611e-13	0.121869340539	0.992546141148	1.0	-2.1607593644e-13	9.60403970436e-14	7.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
8	8.0	1	5	1	1	0.5	0.5	0.5	0.0438656010832	-0.0547002702951	-0.0950862541795	-0.0910048484802	0.00579795939848	0.0075320713222	0.00753418169916	1.0	9.95214110774e-14	9.952142463e-14	1.19883541028e-13	0.990268051624	-0.139173105359	1.5344615769e-13	0.139173105359	0.990268051624	1.0	-1.93732616754e-13	7.31539937134e-14	8.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
9	9.0	1	5	1	1	0.5	0.5	0.5	0.0476265064906	-0.06693007797	-0.111963532865	-0.107425913215	0.00557443965226	0.00733647309244	0.00751292472705	1.0	9.79365107892e-14	9.79365175654e-14	1.15288543144e-13	0.987688362598	-0.156434461474	1.53048269045e-13	0.156434461474	0.987688362598	1.0	-1.7614966289e-13	5.54610577028e-14	9.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
10	10.0	1	5	1	1	0.5	0.5	0.5	0.0511619284052	-0.0781974568963	-0.127493560314	-0.122531078756	0.00535882124677	0.00714056473225	0.00749061629176	1.0	9.64163509231e-14	9.64163509231e-14	1.10881335851e-13	0.984807729721	-0.173648178577	1.52618409989e-13	0.173648178577	0.984807729721	1.0	-1.61827379296e-13	4.16502735892e-14	10.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
11	11.0	1	5	1	1	0.5	0.5	0.5	0.0544590124719	-0.088471762836	-0.141687169671	-0.136302277446	0.0051483400166	0.00694213900715	0.00746928341687	1.0	9.49590273492e-14	9.49590341255e-14	1.06568040796e-13	0.981627166271	-0.190808996558	1.52226335378e-13	0.190808996558	0.981627166271	1.0	-1.50064490456e-13	3.04205106743e-14	11.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
12	12.0	1	5	1	1	0.5	0.5	0.5	0.0574517639017	-0.0978478044271	-0.154580652714	-0.148810505867	0.00494291307405	0.00674560666084	0.00744635425508	1.0	9.35626969238e-14	9.35626969238e-14	1.02349369485e-13	0.978147625923	-0.207911685109	1.51779779608e-13	0.207911685109	0.978147625923	1.0	-1.40004354681e-13	2.11307767752e-14	12.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
13	13.0	1	5	1	1	0.5	0.5	0.5	0.0601600304963	-0.10622742027	-0.166131272912	-0.159981891513	0.0047429674305	0.00654464075342	0.00742361694574	1.0	9.22255571608e-14	9.22255503845e-14	9.82438888813e-14	0.974370062351	-0.224951043725	1.5134031181e-13	0.224951043725	0.974370062351	1.0	-1.31394718782e-13	1.33769905892e-14	13.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
14	14.0	1	5	1	1	0.5	0.5	0.5	0.0625560237246	-0.113614186645	-0.176321923733	-0.169804736972	0.00454916572198	0.00634495634586	0.00740135088563	1.0	9.09458597841e-14	9.09458530078e-14	9.42784397643e-14	0.970295727253	-0.241921886802	1.50916524286e-13	0.241921886802	0.970295727253	1.0	-1.23946358277e-13	6.88772167895e-15	14.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
15	15.0	1	5	1	1	0.5	0.5	0.5	0.064623152588	-0.120048590004	-0.185179919004	-0.17832493782	0.00435922853649	0.00614238297567	0.00737902149558	1.0	8.97219175041e-14	8.97219107278e-14	9.03759421358e-14	0.965925812721	-0.258819043636	1.50488345743e-13	0.258819043636	0.965925812721	1.0	-1.17391732728e-13	1.26347923687e-15	15.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
16	16.0	1	5	1	1	0.5	0.5	0.5	0.0663746195376	-0.125523671508	-0.192728817463	-0.185538485646	0.00417540827766	0.00594279170036	0.00735600618646	1.0	8.85521107938e-14	8.85521040175e-14	8.66191951607e-14	0.961261689663	-0.275637358427	1.50032669123e-13	0.275637358427	0.961261689663	1.0	-1.11524369384e-13	-3.50626472131e-15	16.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
17	17.0	1	5	1	1	0.5	0.5	0.5	0.0677872073143	-0.130049750209	-0.198957800865	-0.191445931792	0.00399514567107	0.00573630817235	0.00733454944566	1.0	8.74348675601e-14	8.74348607838e-14	8.29210628655e-14	0.956304728985	-0.292371690273	1.49627706059e-13	0.292371690273	0.956304728985	1.0	-1.06359209905e-13	-7.7192983925e-15	17.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
18	18.0	1	5	1	1	0.5	0.5	0.5	0.0688726440667	-0.13366368413	-0.20391356945	-0.196102648973	0.00382082024589	0.00553295295686	0.00731354439631	1.0	8.63686902487e-14	8.63686766962e-14	7.93686337898e-14	0.951056540012	-0.309017002583	1.49233476596e-13	0.309017002583	0.951056540012	1.0	-1.01717394815e-13	-1.1326327212e-14	18.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
19	19.0	1	5	1	1	0.5	0.5	0.5	0.0696297180331	-0.136321663857	-0.207558274269	-0.199463963509	0.00364940264262	0.00533262779936	0.00729088904336	1.0	8.53521355156e-14	8.53521151868e-14	7.58580481416e-14	0.945518553257	-0.325568139553	1.48775008155e-13	0.325568139553	0.945518553257	1.0	-9.7403408581e-14	-1.45807929668e-14	19.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
20	20.0	1	5	1	1	0.5	0.5	0.5	0.0700644066665	-0.138097688556	-0.209973961115	-0.201613843441	0.00348059250973	0.00512766698375	0.00727100577205	1.0	8.43838074503e-14	8.43837938977e-14	7.23816555195e-14	0.939692616463	-0.342020124197	1.48407572039e-13	0.342020124197	0.939692616463	1.0	-9.35965172554e-14	-1.75459757942e-14	20.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
21	21.0	1	5	1	1	0.5	0.5	0.5	0.0701877711751	-0.138971403241	-0.211157605052	-0.20253777504	0.00331580708735	0.00492311827838	0.00725055858493	1.0	8.34624050102e-14	8.34623846814e-14	6.89923311081e-14	0.933580458164	-0.358367949724	1.4801277337e-13	0.358367949724	0.933580458164	1.0	-9.0061604821e-14	-2.01888507268e-14	21.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
22	22.0	1	5	1	1	0.5	0.5	0.5	0.0699866553715	-0.138959825039	-0.211107447743	-0.202245801687	0.00315649039112	0.00472341617569	0.00723067810759	1.0	8.25866610342e-14	8.25866339291e-14	6.57438174539e-14	0.927183866501	-0.374606579542	1.4762987382e-13	0.374606579542	0.927183866501	1.0	-8.68153950963e-14	-2.24807118179e-14	22.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
23	23.0	1	5	1	1	0.5	0.5	0.5	0.0694881714825	-0.138143435121	-0.209938883781	-0.200845211744	0.00299837184139	0.00451778201386	0.00721126794815	1.0	8.17553761235e-14	8.17553490184e-14	6.24881345127e-14	0.920504868031	-0.39073112607	1.47254902499e-13	0.39073112607	0.920504868031	1.0	-8.38166477413e-14	-2.46553706542e-14	23.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
24	24.0	1	5	1	1	0.5	0.5	0.5	0.0687132541533	-0.136471450329	-0.20762142539	-0.198303565383	0.0028445108328	0.00431606685743	0.00719203986228	1.0	8.09674050896e-14	8.09673779845e-14	5.93358776826e-14	0.913545489311	-0.406736642122	1.46877193567e-13	0.406736642122	0.913545489311	1.0	-8.10227265054e-14	-2.65915626107e-14	24.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
25	25.0	1	5	1	1	0.5	0.5	0.5	0.0676169983635	-0.13403198123	-0.204196736217	-0.194667950273	0.00269203982316	0.00410861568525	0.00717331608757	1.0	8.02216705066e-14	8.02216434015e-14	5.61884252234e-14	0.906307816505	-0.422618240118	1.46507656809e-13	0.422618240118	0.906307816505	1.0	-7.84230400888e-14	-2.84337508508e-14	25.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
26	26.0	1	5	1	1	0.5	0.5	0.5	0.0662631331079	-0.130787238479	-0.199683398008	-0.189970225096	0.00254649785347	0.00390863511711	0.00715752178803	1.0	7.95171491586e-14	7.95171220536e-14	5.32437219585e-14	0.898794054985	-0.438371151686	1.46231442753e-13	0.438371151686	0.898794054985	1.0	-7.6093421657e-14	-2.99671074901e-14	26.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
27	27.0	1	5	1	1	0.5	0.5	0.5	0.0646436064666	-0.126818150282	-0.194168791175	-0.184269443154	0.00239934097044	0.00370743637905	0.00713936518878	1.0	7.88528788163e-14	7.8852844935e-14	5.02027178238e-14	0.891006529331	-0.453990489244	1.45861472314e-13	0.453990489244	0.891006529331	1.0	-7.37995886732e-14	-3.15536984562e-14	27.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
28	28.0	1	5	1	1	0.5	0.5	0.5	0.0627565607148	-0.122118026018	-0.18763422966	-0.177565723658	0.00225654477254	0.00350114423782	0.00712363282219	1.0	7.82279311316e-14	7.82279040265e-14	4.72786279527e-14	0.88294762373	-0.469471544027	1.45566271168e-13	0.469471544027	0.88294762373	1.0	-7.17171954418e-14	-3.29618534615e-14	28.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0	31000000.0
